REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
907;1;2;1;5;;5;1;0;1;0;1;4;1;6;1;0;5;1;2;2;1;1;1;1;4;3;6;13;13;4;0,92997
912;1;1;1;4;;4;1;2;1;7;1;2;1;1;1;1;4;2;2;1;1;3;3;2;2;5;1;7;7;2;0,96899
913;1;1;1;14;;4;1;8;1;8;1;4;1;3;1;7;1;2;1;1;1;4;1;1;4;5;1;10;10;4;0,96173
914;1;1;1;2;;96;1;7;1;9;1;7;1;7;1;98;2;1;2;1;1;2;3;2;2;5;1;8;8;2;1,00136
940;1;1;1;14;;1;1;7;1;6;1;4;1;1;1;8;14;2;2;1;1;5;3;1;4;5;6;7;7;2;0,90735
949;1;1;1;2;;5;1;2;1;2;1;7;1;2;1;2;2;1;2;2;1;2;1;1;2;5;1;13;13;2;1,00766
953;1;1;1;1;;1;1;10;1;8;1;0;1;0;1;5;1;2;2;1;2;4;3;1;3;2;1;1;1;1;1,04298
954;1;1;1;14;;1;1;5;1;6;1;3;1;0;1;5;14;1;2;1;1;5;1;1;3;4;1;21;6;2;0,92354
960;1;1;1;4;;1;1;6;1;7;1;4;1;3;1;98;4;2;2;1;1;4;3;1;2;3;1;21;11;3;1,04026
963;1;2;1;14;;1;1;5;1;5;1;0;1;0;1;10;14;2;2;1;98;5;3;1;2;2;1;1;1;1;1,14043
971;1;1;1;2;;2;1;3;1;4;1;6;1;6;1;3;2;1;2;1;2;1;5;1;4;4;1;7;7;1;1,02079
972;1;1;1;2;;2;1;1;1;0;1;10;1;9;1;0;2;1;2;2;1;1;1;2;4;3;6;13;13;4;0,96404
973;1;1;1;2;;2;1;0;1;2;1;10;1;6;1;0;2;1;1;2;1;1;3;2;4;2;6;13;13;4;0,96404
981;1;2;1;99;95;8;1;0;1;1;1;6;1;6;1;0;97;1;1;2;2;1;98;2;1;5;1;9;9;4;1,03312
984;1;1;1;98;98;2;1;7;1;8;1;4;1;1;1;7;4;98;1;1;1;3;3;1;3;5;1;1;1;4;0,91961
994;1;1;1;1;;97;1;6;1;0;1;0;1;0;2;;1;2;2;2;1;5;1;2;3;5;5;10;10;4;0,97348
997;1;1;1;2;;2;1;99;1;5;1;8;1;6;1;99;2;1;2;2;2;2;3;2;3;5;1;1;1;4;0,947
999;1;1;1;11;;11;1;4;1;4;1;4;1;5;1;2;97;1;96;1;2;2;3;1;1;4;1;12;12;3;1,00884
1001;1;2;1;5;;5;1;3;1;7;1;8;1;8;1;1;5;1;2;2;1;1;2;2;3;5;5;16;16;3;0,98438
1004;1;1;1;14;;1;1;5;1;5;1;3;1;0;1;7;14;2;2;1;1;4;1;2;3;5;1;13;13;4;0,94134
1005;1;2;2;98;97;98;1;99;1;99;1;99;1;99;1;99;96;1;98;2;1;98;2;2;4;3;5;12;12;1;1,06778
1009;1;1;1;2;;2;1;0;1;2;1;5;1;4;1;0;2;2;2;2;2;2;1;2;4;5;1;13;13;4;0,96404
1011;1;1;1;5;;97;1;2;1;2;1;4;1;5;1;0;5;1;2;1;2;1;3;1;1;4;8;16;16;1;1,13601
1016;1;4;1;96;97;96;1;0;1;0;1;3;1;3;1;0;5;1;1;2;2;1;5;2;2;4;1;9;9;1;1,08186
1018;1;1;2;2;;13;1;0;1;0;1;3;1;1;1;0;2;1;2;1;2;1;3;1;4;3;1;10;10;1;1,09074
1019;1;2;1;98;4;97;1;3;1;6;1;1;1;0;1;4;4;2;2;1;1;3;3;1;1;3;8;1;1;1;1,13494
1029;1;1;1;4;;4;1;3;1;7;1;8;1;2;1;5;97;2;96;1;98;99;3;1;2;1;1;21;3;2;1,00985
1033;1;1;1;14;;4;1;7;1;8;1;6;1;3;1;8;4;1;2;1;1;4;3;1;2;2;1;1;1;2;1,01368
1035;1;1;1;4;;1;1;5;1;6;1;3;1;3;2;;4;1;2;2;1;3;3;2;3;4;1;21;6;3;0,97972
1037;1;1;1;99;97;8;1;0;1;0;1;6;1;6;1;0;97;1;96;2;98;1;3;2;4;4;7;9;9;1;1,05012
1045;1;2;2;98;1;1;1;5;1;5;1;3;1;1;1;98;97;2;2;1;98;98;1;2;4;2;7;21;2;1;1,09576
1046;1;1;1;10;;10;1;0;1;0;1;3;1;6;1;0;5;1;1;2;2;1;5;2;2;5;1;16;16;2;1,00816
1052;1;1;1;1;;1;1;6;1;7;1;4;1;0;2;;97;2;2;1;1;5;3;2;3;5;1;1;1;2;0,95469
1057;1;4;1;1;;1;2;;1;8;1;0;1;0;2;;4;2;1;1;1;98;3;2;4;2;6;1;1;3;1,00713
1065;1;3;1;99;95;98;1;3;1;1;1;0;1;0;1;1;97;99;1;1;1;3;99;1;2;5;1;1;1;2;1,01368
1066;1;2;1;99;13;13;1;2;1;2;1;8;1;10;1;0;5;1;1;2;2;1;4;2;4;1;6;10;10;1;1,13069
1068;1;3;4;97;2;2;1;0;2;;1;10;1;5;2;;2;1;2;2;1;1;3;1;4;3;6;12;12;3;0,94317
1071;1;1;1;98;4;4;1;1;1;6;1;7;1;6;1;0;4;98;2;1;1;3;3;1;1;5;1;13;13;4;0,99471
1078;1;1;1;98;4;1;1;7;1;8;1;2;1;1;1;5;4;2;98;1;1;4;1;2;3;5;6;13;13;3;0,97758
1085;1;1;1;2;;2;1;0;1;0;1;10;1;0;1;0;2;2;2;1;1;2;3;1;2;5;1;1;1;1;1,14043
1101;1;1;1;98;13;13;1;3;1;3;1;5;2;;1;98;2;1;2;1;1;1;3;1;4;2;6;10;10;2;0,96954
1102;1;4;4;97;97;97;1;0;1;0;1;0;1;0;1;0;97;1;98;1;98;99;99;1;3;4;1;9;9;1;0,99576
1108;1;1;1;4;;4;1;4;1;6;1;5;1;3;1;2;4;2;2;2;1;2;3;2;3;5;1;13;13;2;0,94898
1112;1;1;1;5;;5;1;1;1;3;1;5;1;8;1;0;5;1;2;2;1;1;3;1;3;5;1;1;1;3;0,95498
1125;1;2;1;4;;4;1;4;1;8;1;4;1;4;1;4;4;2;96;98;1;3;3;1;2;5;1;21;4;2;1,00985
1134;1;1;1;14;;5;1;7;1;3;1;0;1;0;1;9;14;2;2;1;1;5;3;1;2;2;1;21;2;4;1,00174
1137;1;3;1;4;;4;1;6;1;8;1;6;1;3;1;98;4;2;2;1;1;1;1;2;4;2;6;13;13;3;1,00115
1142;1;2;1;4;;4;1;7;1;10;1;0;1;0;1;7;4;2;1;1;2;2;1;2;4;1;6;10;10;2;1,00501
1158;1;2;2;14;;4;1;7;1;8;1;3;1;0;2;;1;2;2;1;1;98;1;1;3;3;1;7;7;2;0,89187
1165;1;1;1;2;;2;1;3;1;3;1;5;1;3;1;10;97;1;96;2;1;2;3;2;2;5;1;13;13;4;0,99318
1171;1;1;1;14;;2;1;0;1;3;1;10;1;2;1;7;2;2;2;2;1;2;2;1;4;2;6;7;7;1;1,02079
1177;1;1;1;98;7;6;1;0;1;0;1;2;1;5;1;2;5;1;1;2;2;1;5;2;3;4;1;9;9;2;0,91145
1181;1;1;1;98;4;2;1;0;1;1;1;0;1;0;1;0;4;2;1;1;2;1;3;2;2;3;5;1;1;3;1,03754
1185;1;1;1;2;;2;1;1;1;5;1;7;1;4;1;0;2;1;2;2;1;2;3;1;3;4;1;13;13;4;0,91411
1190;1;2;1;4;;4;1;7;1;9;1;6;1;8;1;7;4;2;2;2;1;4;3;2;2;4;1;21;3;2;1,0034
1194;1;1;1;4;;4;1;5;1;7;1;2;1;0;1;5;4;2;1;2;1;4;3;1;2;5;1;13;13;2;1,00766
1195;1;1;1;14;;1;1;8;1;2;1;0;1;0;1;10;14;2;96;1;98;5;1;1;3;2;6;13;13;4;0,91411
1203;1;1;1;4;;1;1;8;1;8;1;3;1;1;1;5;4;2;96;1;1;4;1;2;3;5;1;7;7;1;1,03326
1210;1;2;1;14;;4;1;5;1;4;1;0;1;5;1;7;14;2;2;1;2;1;1;1;3;2;1;13;13;4;0,91411
1211;1;1;1;14;;4;1;7;1;5;1;1;1;1;1;8;14;2;96;98;1;98;1;1;4;5;6;8;8;3;0,96592
1225;1;1;1;98;97;98;1;6;1;6;1;8;1;5;1;4;2;1;1;98;1;98;3;2;4;3;6;12;12;2;0,94911
1231;1;1;1;1;;1;1;9;1;4;1;0;1;0;1;8;1;2;2;1;1;4;2;1;3;4;1;8;8;2;0,92168
1257;1;2;1;1;;1;1;10;1;8;1;4;1;2;1;5;1;2;2;1;1;5;2;2;4;2;6;21;11;2;0,97399
1262;1;2;1;4;;98;1;6;1;7;1;2;1;2;1;5;4;2;2;1;2;3;3;2;1;5;1;1;1;2;1,09088
1272;1;1;1;5;;5;1;0;1;0;1;3;1;6;1;0;97;1;98;2;2;1;98;2;1;5;1;13;13;2;1,08437
1279;1;1;1;2;;2;1;6;1;8;1;10;1;4;1;3;2;2;2;1;2;1;1;2;3;2;7;13;13;4;0,94134
1293;1;1;1;14;;1;1;8;1;5;1;3;1;0;1;9;14;2;2;1;1;5;1;1;3;2;1;10;10;2;0,953
1296;1;2;1;98;98;98;1;1;1;2;1;8;1;3;1;4;2;1;2;2;2;5;1;2;3;4;7;9;9;1;1,02542
1300;1;2;1;1;;1;1;2;1;4;1;0;1;0;1;5;1;2;2;1;2;4;1;1;1;2;5;13;13;3;1,033
1307;1;3;4;97;97;97;1;0;1;0;1;0;1;0;1;0;97;1;2;1;2;98;3;1;2;4;1;1;1;2;1,01368
1310;1;2;1;98;4;4;1;5;1;9;1;7;1;5;1;2;4;1;96;2;2;3;3;2;2;5;1;9;9;1;1,08186
1317;1;1;1;1;;1;1;10;1;4;1;2;1;3;1;7;1;1;2;1;1;5;3;1;4;2;5;1;1;2;0,94316
1324;1;4;1;2;;1;1;4;1;4;1;4;1;3;1;6;14;2;2;1;1;1;3;1;2;4;5;7;7;1;1,09713
1333;1;1;1;1;;1;1;10;1;9;1;1;1;0;1;8;1;2;1;1;2;4;1;2;3;5;1;10;10;3;1,01095
1336;1;3;1;99;99;98;1;3;1;2;1;3;1;3;1;0;2;1;98;2;1;2;3;1;2;5;5;1;1;2;1,01368
1337;1;2;98;7;;97;1;6;1;4;1;8;1;8;2;;5;1;1;2;2;1;4;1;1;3;8;9;9;3;0,99213
1338;1;2;1;98;99;99;1;0;1;0;1;5;1;5;1;0;2;1;96;2;98;2;3;2;4;5;6;1;1;3;1,00713
1340;1;1;1;98;7;6;1;0;1;2;1;6;1;6;1;3;97;1;1;2;2;2;5;2;3;5;1;9;9;4;0,90415
1345;1;4;1;96;4;1;1;6;1;10;1;3;1;0;1;98;4;2;2;2;1;98;3;2;4;2;7;21;11;1;1,09576
1346;1;4;1;2;;1;1;4;1;5;1;6;1;3;2;;2;2;2;2;2;5;1;2;3;4;1;21;3;3;0,97972
1351;1;1;1;14;;1;1;5;1;5;1;0;1;0;1;5;14;2;1;1;1;5;3;1;3;5;1;1;1;2;0,92706
1358;1;1;1;99;98;99;1;10;1;1;1;0;1;8;1;6;99;2;1;2;2;99;5;2;3;2;1;5;5;1;1,0917
1360;1;2;4;97;97;97;1;5;1;6;1;5;1;4;1;4;4;98;98;1;1;4;3;1;3;3;1;1;1;1;1,04298
1369;1;1;1;98;1;98;1;8;1;8;1;9;1;9;2;;5;1;2;2;2;5;3;1;3;3;1;12;12;2;0,89996
1370;1;3;3;98;95;95;1;0;1;0;1;5;1;0;1;0;2;1;1;2;2;2;3;1;1;5;1;21;15;3;1,03525
1372;1;2;2;2;;97;2;;1;4;1;7;1;8;2;;5;1;2;1;1;3;2;1;1;4;1;16;16;2;1,00974
1373;1;3;4;97;97;97;2;;1;5;1;5;1;5;2;;2;1;1;2;98;5;5;1;2;2;1;5;5;3;1,06139
1375;1;1;1;99;98;95;1;4;1;5;1;5;1;5;2;;97;1;2;2;1;3;2;2;4;3;7;21;6;1;1,09576
1381;1;1;1;2;;2;1;6;1;7;1;7;1;5;1;4;2;2;2;1;2;2;1;2;2;4;1;7;7;1;1,09013
1397;1;1;1;2;;2;1;5;1;6;1;8;1;5;1;2;2;1;2;2;1;2;1;1;4;5;6;13;13;2;0,93751
1402;1;2;1;98;2;2;1;5;1;3;1;6;1;5;2;;2;98;96;2;2;1;3;2;2;4;1;1;1;1;1,13315
1406;1;1;1;98;11;11;1;4;1;3;1;9;1;8;1;6;2;1;2;2;1;2;3;2;3;4;1;12;12;3;0,95468
1421;1;1;1;2;;2;1;3;1;3;1;8;1;5;1;0;2;1;2;2;1;1;3;2;2;5;1;12;12;3;1,00726
1428;1;3;1;1;;2;1;5;2;;1;9;1;0;2;;97;98;2;2;1;5;3;2;2;2;1;21;11;1;1,12885
1433;1;1;4;97;2;9;1;0;1;0;1;4;1;4;1;0;2;2;2;1;1;1;5;1;4;2;6;16;16;2;0,94404
1436;1;1;1;2;;2;1;5;1;5;1;8;1;5;1;0;2;1;2;2;1;1;3;1;4;2;6;10;10;2;0,96954
1437;1;2;1;8;;97;1;0;1;2;1;2;1;3;1;0;5;1;1;2;2;1;3;1;2;5;1;9;9;2;0,96783
1440;1;1;1;98;2;5;1;6;1;6;1;5;1;2;1;0;2;2;1;1;1;1;3;1;3;5;1;1;1;2;0,92706
1449;1;1;1;2;;8;1;0;1;4;1;8;1;4;1;0;2;1;2;2;2;1;3;2;3;2;1;9;9;2;0,91145
1456;1;2;1;95;;95;1;0;1;0;1;0;1;0;1;0;97;2;2;1;2;3;3;2;1;5;5;21;2;2;1,08674
1461;1;2;1;4;;4;1;3;1;9;1;6;1;4;1;0;4;2;2;1;1;3;3;2;1;3;8;1;1;2;1,09088
1463;1;2;1;99;11;11;1;98;1;98;1;5;1;8;1;98;5;1;1;2;2;1;3;1;3;2;5;12;12;1;1,0125
1478;1;1;1;4;;4;1;7;1;8;1;3;1;4;1;3;4;2;2;1;1;3;3;2;2;4;1;21;14;2;1,0034
1485;1;1;1;98;98;97;2;;1;98;1;98;1;98;2;;96;98;96;2;1;98;3;2;4;2;5;10;10;1;1,13069
1497;1;2;1;99;6;6;1;0;1;0;1;0;1;0;1;0;97;1;1;2;2;4;4;2;3;5;1;9;9;4;0,90415
1502;1;1;1;14;;1;1;8;1;7;1;0;1;0;1;8;1;2;2;1;1;5;1;1;3;3;1;13;13;4;0,91411
1505;1;2;1;2;;2;1;0;1;5;1;5;1;0;2;;97;1;2;1;1;2;3;2;2;4;1;7;7;1;1,09013
1523;1;2;1;5;;5;1;2;1;2;1;4;1;6;1;1;97;1;2;2;1;1;3;1;1;3;8;8;8;2;1,00294
1524;1;2;1;2;;2;1;0;1;0;1;7;1;6;1;0;2;1;2;2;1;2;3;1;4;5;6;13;13;4;0,92997
1526;1;1;1;1;;1;1;8;1;7;1;0;1;0;1;5;1;2;1;1;1;3;3;2;4;3;6;13;13;2;0,97185
1527;1;1;1;4;;1;1;6;1;7;1;3;1;2;1;7;4;2;1;1;1;3;1;2;4;3;1;21;11;2;0,97399
1528;1;2;1;13;;97;1;98;1;4;1;3;1;7;1;4;5;1;96;1;2;2;1;1;1;3;8;10;10;2;1,037
1532;1;3;1;1;;1;1;5;1;5;1;5;1;5;2;;1;1;1;1;2;98;1;2;2;2;1;10;10;2;1,03536
1536;1;1;1;14;;2;1;2;1;2;1;3;1;3;1;5;14;2;2;1;1;5;3;1;3;4;1;21;2;4;0,91613
1545;1;1;1;14;;1;1;8;1;8;1;0;1;0;1;10;14;2;96;1;1;5;3;1;2;2;1;1;1;2;1,01368
1548;1;1;1;14;;1;1;8;1;6;1;1;1;0;1;9;1;2;1;1;1;5;3;1;4;2;1;13;13;3;0,96577
1557;1;1;1;1;;1;1;8;1;98;1;0;1;0;1;99;1;2;98;1;1;5;1;1;4;5;6;7;7;1;1,02079
1559;1;4;2;5;;5;1;0;1;2;1;5;1;5;1;1;5;1;2;2;1;1;1;1;2;5;1;13;13;3;1,03801
1560;1;2;1;98;97;4;1;5;1;6;1;4;1;5;1;5;97;1;2;1;1;3;2;2;4;5;5;13;13;3;1,00115
1572;1;1;1;1;;1;1;5;1;5;1;0;1;0;1;5;1;2;2;1;1;4;1;1;4;3;1;21;3;2;0,93958
1574;1;2;1;98;97;2;1;4;1;4;1;6;1;3;1;0;2;1;96;1;1;2;1;2;3;3;5;1;1;1;1,07404
1577;1;1;1;2;;2;1;0;1;4;1;6;1;5;1;0;2;1;96;2;1;2;3;2;3;4;5;21;6;1;1,06997
1579;1;3;4;97;5;5;1;2;1;2;1;5;1;6;1;3;5;1;98;1;1;1;3;2;1;2;5;13;13;4;1,07566
1582;1;1;1;14;;1;1;6;1;6;1;0;1;0;1;8;14;2;2;1;1;4;3;2;2;5;1;21;2;4;0,99533
1584;1;2;1;98;98;1;1;4;1;6;1;0;1;0;2;;97;2;2;2;1;5;3;2;2;4;5;10;10;1;1,16482
1586;1;4;1;96;97;96;1;5;1;5;1;5;1;5;1;5;97;98;2;1;2;1;4;1;2;4;1;7;7;2;0,97521
1590;1;2;2;99;98;97;2;;1;7;1;6;1;98;2;;98;1;2;2;98;2;4;2;1;3;1;1;1;2;1,09088
1595;1;2;1;2;;5;1;5;1;4;1;8;1;6;2;;2;1;2;2;1;1;1;1;3;4;1;21;14;2;0,92354
1598;1;2;2;7;;97;1;1;1;3;1;4;1;4;1;0;5;1;1;2;2;2;5;1;4;4;6;9;9;2;0,90047
1601;1;2;2;98;97;98;1;4;1;8;1;8;1;4;1;0;4;1;2;1;1;3;3;2;4;2;6;21;3;2;0,97399
1603;1;2;1;14;;5;1;7;1;8;1;4;1;4;1;8;4;2;1;1;1;4;1;2;3;2;5;13;13;4;0,94134
1606;1;4;1;2;;2;1;0;1;8;1;9;1;5;1;0;2;98;2;2;1;98;3;2;2;5;5;1;1;2;1,00721
1607;1;3;1;2;;2;1;5;1;0;1;5;1;5;1;5;2;2;96;2;2;1;1;2;3;4;1;9;9;2;0,91145
1608;1;1;1;1;;1;1;8;1;9;1;4;1;3;1;5;1;98;2;2;1;4;3;2;2;5;1;13;13;2;1,00121
1609;1;1;1;98;2;4;1;0;1;4;1;5;1;3;1;0;2;1;2;2;1;3;1;1;2;5;1;13;13;4;0,99956
1612;1;1;1;98;2;2;1;0;1;2;1;1;1;0;1;1;97;2;2;1;2;1;1;2;2;5;1;5;5;2;1,02374
1625;1;1;4;97;98;98;1;3;1;5;1;4;1;5;1;2;97;1;2;2;98;2;3;2;3;5;1;7;7;3;0,9461
1628;1;3;3;96;97;5;1;0;1;2;1;2;1;6;1;0;97;98;99;2;99;1;1;2;2;5;1;7;7;1;1,09013
1635;1;2;98;98;97;98;1;7;1;8;1;7;1;5;2;;4;98;98;98;1;98;3;2;4;1;6;13;13;3;1,00115
1636;1;1;1;2;;5;1;1;1;1;1;7;1;6;1;0;2;1;96;2;1;1;3;1;4;2;6;1;1;2;0,94316
1638;1;1;1;4;;4;1;4;1;7;1;2;1;1;1;0;4;2;1;1;2;3;3;2;3;2;6;1;1;2;0,95469
1642;1;1;1;6;;6;1;0;1;1;1;5;1;5;1;0;2;1;1;2;2;2;5;1;4;3;1;9;9;3;0,92758
1648;1;2;3;12;;97;1;5;1;5;1;5;1;5;2;;97;2;2;1;2;5;1;2;2;5;1;5;5;2;1,02374
1649;1;3;1;4;;4;1;4;1;8;1;1;1;3;1;6;4;1;2;2;1;3;1;2;4;1;7;8;8;1;1,09354
1652;1;1;1;2;;5;1;2;1;3;1;4;1;4;2;;97;1;98;1;1;1;99;2;2;4;1;13;13;1;1,12637
1658;1;4;4;97;97;97;1;2;1;2;1;3;1;2;1;2;96;98;2;2;1;98;4;1;3;3;5;10;10;2;0,953
1660;1;1;1;99;4;1;1;5;1;5;1;3;1;3;2;;4;2;2;1;2;3;3;2;3;2;1;10;10;2;0,98138
1661;1;1;1;1;;1;1;9;1;5;1;2;1;0;1;6;1;2;2;1;1;5;1;1;4;2;6;7;7;1;1,02079
1664;1;4;4;97;97;97;1;99;1;99;1;99;1;99;1;99;97;1;96;2;2;2;3;1;3;3;1;10;10;1;1,07214
1669;1;3;1;96;7;96;1;0;1;0;1;4;1;6;1;0;97;1;1;2;2;3;5;1;2;4;1;9;9;1;1,08881
1686;1;1;1;1;;1;1;8;1;8;1;0;1;1;1;6;1;2;1;1;1;4;3;2;3;3;1;1;1;2;0,95469
1694;1;2;1;99;99;99;1;7;1;8;1;5;1;5;1;98;1;2;2;2;1;4;1;2;4;3;7;10;10;4;0,99695
1697;1;3;3;9;;97;1;0;1;0;1;0;1;0;2;;97;1;96;2;2;3;1;2;3;4;6;16;16;3;0,98438
1716;1;1;1;98;2;5;1;0;1;0;1;6;1;5;1;0;2;1;2;2;1;2;3;2;4;4;5;21;3;3;1,00332
1723;1;4;98;98;97;97;1;0;1;0;1;3;1;3;1;0;97;1;96;2;1;1;3;1;3;4;1;16;16;3;0,95589
1726;1;1;98;98;2;2;1;4;1;5;1;6;1;5;1;4;2;1;2;98;1;3;3;2;3;3;7;1;1;2;0,95469
1732;1;1;1;2;;2;1;4;1;5;1;6;1;5;1;98;2;1;96;2;1;2;3;2;3;4;7;12;12;3;0,95468
1736;1;2;2;14;;97;1;2;1;6;1;2;1;0;1;6;4;2;2;1;1;5;1;1;2;3;5;13;13;1;1,13364
1739;1;3;4;97;97;97;1;4;1;4;1;2;1;4;1;5;97;99;2;1;1;4;3;1;3;5;1;12;12;1;1,0125
1744;1;2;1;2;;2;1;1;1;6;1;4;1;2;2;;2;98;2;2;1;98;3;1;3;2;5;1;1;4;0,91961
1748;1;3;1;4;;4;1;3;1;6;1;1;1;0;1;0;4;2;2;1;1;3;1;1;3;4;1;21;6;1;1,03903
1749;1;1;2;99;97;98;1;5;1;5;1;5;1;5;2;;97;98;96;2;1;98;1;2;1;5;1;13;13;1;1,21995
1750;1;2;1;5;;5;1;1;1;2;1;7;1;9;1;0;2;1;1;2;98;1;1;1;4;4;6;21;15;2;0,93958
1752;1;1;1;96;97;4;1;0;1;0;1;0;1;0;1;0;4;2;2;1;98;98;1;2;2;4;1;7;7;3;0,99817
1758;1;1;1;2;;13;1;2;1;4;1;4;1;4;1;0;2;1;2;2;1;2;3;2;2;5;1;10;10;2;1,03536
1759;1;2;1;1;;1;1;9;1;9;1;3;1;0;1;98;1;1;96;98;1;5;3;2;1;5;1;21;6;2;1,08674
