REGISTRO;P0;P1;P2;P3;P3A;P4;P5A_1;P5B_1;P5A_2;P5B_2;P5A_3;P5B_3;P5A_4;P5B_4;P5A_5;P5B_5;P6;P7;P8;P9;P10;D1;D2;D3;D4;D5;D6;CA;AUT;HABI;POND
1760;1;1;1;14;;1;1;7;1;6;1;0;1;0;1;9;1;2;2;1;1;5;1;1;3;4;1;21;14;2;0,92354
1770;1;1;2;98;4;97;1;6;1;10;1;5;1;6;1;6;4;98;2;1;2;4;1;2;2;5;1;13;13;2;1,00121
1771;1;1;1;2;;4;1;1;1;4;1;6;1;3;1;0;2;1;96;2;1;3;1;1;3;5;1;8;8;2;0,92168
1781;1;98;2;98;97;98;1;2;1;5;1;1;1;0;2;;4;98;2;1;99;98;3;1;4;5;6;21;4;3;0,96788
1786;1;2;3;97;97;97;1;1;1;98;1;1;1;1;1;1;97;2;1;1;98;3;3;2;1;3;8;7;7;3;1,08108
1796;1;3;1;98;98;1;1;5;1;7;1;5;1;0;1;5;4;1;2;1;1;4;3;2;4;3;7;21;2;4;0,96615
1804;1;1;1;14;;1;1;6;1;8;1;3;1;0;1;5;4;2;2;1;1;4;3;1;3;4;1;21;14;2;0,92354
1807;1;1;2;2;;2;1;0;1;4;1;8;1;6;1;0;2;1;2;2;2;1;3;1;4;4;6;9;9;4;0,89323
1819;1;1;1;5;;5;1;0;1;0;1;4;1;10;1;0;5;1;1;2;2;1;1;2;3;2;5;13;13;3;0,97758
1821;1;1;1;2;;4;1;5;1;8;1;9;1;4;1;6;4;2;2;2;1;3;3;1;3;2;5;10;10;2;0,953
1822;1;1;1;1;;1;1;8;1;8;1;1;1;0;1;4;1;2;2;1;1;5;2;1;4;5;6;7;7;1;1,02079
1823;1;1;1;96;2;2;1;5;1;3;1;5;1;3;2;;2;1;2;1;1;1;3;2;2;2;5;21;6;1;1,12885
1832;1;2;2;2;;96;1;2;1;2;1;7;1;5;1;0;2;99;99;1;1;2;3;2;3;5;1;12;12;3;0,95468
1842;1;3;1;2;;97;1;5;2;;1;8;1;8;2;;2;99;2;2;1;5;5;1;2;4;1;21;14;2;1,00985
1855;1;1;1;98;7;7;1;3;1;0;1;5;1;6;1;3;97;98;1;2;2;2;4;2;2;3;1;9;9;1;1,08186
1861;1;4;4;97;95;97;1;0;1;0;1;0;1;3;1;0;97;1;96;2;2;1;5;1;1;5;1;9;9;3;0,99213
1864;1;1;1;4;;4;1;5;1;9;1;0;1;0;1;5;4;2;2;1;1;3;3;1;4;5;1;5;5;3;0,98751
1874;1;1;1;14;;1;1;9;1;8;1;1;1;1;1;10;1;2;2;1;1;5;1;1;3;5;1;21;14;3;0,95135
1882;1;1;1;98;9;96;1;4;1;2;1;6;1;5;1;0;97;1;1;2;2;2;5;2;2;5;1;16;16;3;1,03854
1885;1;4;4;97;97;97;1;0;1;0;1;0;1;0;1;0;97;99;96;1;2;98;1;1;3;5;1;5;5;2;0,9423
1886;1;1;1;7;;7;1;4;1;4;1;6;1;5;1;0;5;1;1;2;2;2;5;1;1;3;8;9;9;2;0,96313
1891;1;1;1;98;4;4;1;5;1;6;1;3;1;0;1;5;4;98;96;1;1;98;3;1;2;4;1;1;1;4;1,00555
1896;1;2;1;4;;4;1;5;1;7;1;6;1;4;1;5;4;1;1;2;2;3;3;2;1;5;1;9;9;3;1,07289
1900;1;1;1;8;;2;1;0;1;0;1;1;1;5;1;0;5;1;1;2;2;2;3;1;4;2;1;9;9;4;0,89323
1901;1;1;1;1;;1;1;9;1;7;1;0;1;0;1;5;1;2;1;1;1;3;1;2;2;5;1;13;13;4;0,99318
1903;1;4;3;1;;1;1;5;1;5;1;5;1;5;1;5;96;99;96;2;2;99;3;2;3;5;1;7;7;3;0,9461
1905;1;2;1;7;;7;1;0;1;2;1;6;1;0;1;0;2;1;1;2;2;1;5;1;1;4;1;9;9;1;1,08355
1914;1;1;1;11;;11;1;0;1;0;1;5;1;10;1;0;5;1;2;2;2;1;4;1;2;2;1;12;12;2;0,98408
1916;1;2;1;2;;2;1;99;1;4;1;6;1;3;1;5;2;2;2;1;1;2;3;2;3;5;1;21;2;4;0,94342
1919;1;2;1;2;;2;1;0;1;5;1;8;1;7;1;0;2;1;2;1;1;1;3;2;3;2;1;1;1;3;0,98345
1923;1;1;1;1;;1;1;10;1;6;1;0;1;0;2;;1;2;99;1;99;5;3;2;2;5;1;12;12;3;1,00726
1926;1;1;1;14;;2;1;10;1;10;1;0;1;0;1;10;1;2;1;1;1;5;3;1;3;2;1;1;1;2;0,92706
1928;1;1;1;2;;5;1;3;1;5;1;4;1;4;1;3;97;2;2;2;1;1;1;1;4;5;6;5;5;3;0,98751
1947;1;1;1;1;;1;1;10;1;0;1;0;1;0;1;8;1;2;1;1;1;5;1;1;4;1;6;5;5;2;0,95863
1953;1;1;1;99;4;4;1;7;1;7;1;4;1;5;1;6;99;2;2;1;1;4;2;1;3;5;1;8;8;1;1,0369
1965;1;1;1;98;98;1;1;8;1;98;1;0;1;0;2;;1;2;98;98;1;5;3;2;4;2;6;5;5;3;1,02368
1966;1;1;1;2;;4;1;1;1;5;1;5;1;4;1;0;2;1;96;1;1;1;3;2;3;3;5;5;5;3;0,99959
1968;1;2;1;2;;2;1;0;1;0;1;8;1;0;2;;2;1;2;1;1;1;3;2;3;2;7;8;8;1;1,06781
1980;1;2;1;98;97;2;1;5;1;5;1;3;1;0;1;98;1;2;2;2;1;99;3;2;1;2;7;5;5;1;1,24745
1984;1;2;1;2;;2;1;1;1;0;1;7;1;0;1;0;2;1;2;2;1;2;3;1;4;3;1;8;8;1;1,05491
1986;1;3;1;99;97;99;1;5;1;5;1;5;1;5;1;5;99;2;98;2;98;3;1;1;4;1;6;5;5;3;0,98751
2005;1;2;1;2;;5;1;2;1;2;1;3;1;3;1;0;2;1;2;2;1;1;98;1;4;5;6;8;8;2;0,93767
2013;1;1;1;1;;1;1;5;1;0;1;5;1;0;1;10;14;2;1;1;1;4;2;1;4;5;6;8;8;2;0,93767
2023;1;1;98;98;4;97;1;6;1;7;1;4;1;1;1;6;98;2;98;1;1;3;3;2;4;3;7;8;8;2;0,97202
2024;1;1;1;4;;4;1;3;1;5;1;2;1;0;1;0;4;1;2;1;1;4;3;1;3;3;6;5;5;3;0,97069
2030;1;1;1;1;;1;1;5;1;5;1;4;1;2;1;2;1;2;96;1;1;4;3;2;4;5;6;8;8;1;1,09354
2034;1;1;1;14;;1;1;6;1;4;1;0;1;0;1;8;14;2;2;1;1;5;1;1;3;5;1;5;5;2;0,9423
2038;1;1;2;99;99;99;1;99;1;99;1;99;1;99;1;99;99;2;1;1;1;98;2;2;4;5;1;8;8;2;0,97202
2039;1;4;1;2;;2;1;0;1;0;1;10;1;0;1;0;2;1;1;2;1;98;3;2;4;2;7;8;8;2;0,97202
2045;1;2;1;4;;4;1;7;1;10;1;4;1;4;1;2;4;2;2;2;1;5;1;2;3;2;5;10;10;3;1,01095
2058;1;1;1;1;;1;1;98;1;8;1;0;1;0;1;10;14;2;2;1;1;4;1;2;4;3;7;10;10;2;1,00501
2063;1;1;1;2;;2;1;1;1;1;1;4;1;2;1;0;2;1;96;2;2;1;3;2;3;5;1;21;4;3;0,97972
2065;1;2;1;4;;98;1;5;1;6;1;0;1;0;1;2;4;2;2;1;1;2;2;2;4;5;1;10;10;4;0,99695
2089;1;1;1;14;;4;1;7;1;6;1;0;1;0;1;10;98;2;1;1;2;5;98;2;4;5;1;10;10;2;1,00501
2090;1;99;4;97;4;97;2;;1;8;1;0;1;0;2;;4;2;2;1;1;99;2;1;4;4;6;21;18;2;0,93958
2108;1;2;1;98;2;2;1;4;1;3;1;6;1;5;2;;98;1;2;1;1;1;1;2;3;2;5;21;4;2;0,95107
2109;1;1;1;99;99;99;1;99;1;99;1;99;1;99;1;99;99;2;98;99;1;99;1;2;4;5;6;10;10;4;0,99695
2117;1;1;1;1;;1;1;9;1;5;1;0;1;0;1;8;1;98;2;2;1;4;1;2;4;3;7;10;10;2;1,00501
2121;1;2;1;1;;1;1;5;1;6;1;4;1;0;1;0;1;1;96;1;2;5;3;1;2;3;1;21;4;1;1,1361
2124;1;1;1;2;;2;1;98;1;7;1;98;1;10;2;;5;98;2;1;98;5;1;2;4;1;6;10;10;2;1,00501
2135;1;2;1;5;;97;1;2;1;3;1;7;1;8;1;1;5;1;1;2;1;1;3;2;1;3;8;21;18;2;1,08674
2142;1;2;1;1;;1;1;10;1;9;1;0;1;0;1;98;1;2;2;2;1;3;1;2;4;1;6;10;10;2;1,00501
2145;1;2;1;14;;4;1;5;1;4;1;0;1;0;1;98;1;98;2;1;1;3;3;2;4;2;6;10;10;2;1,00501
2147;1;2;1;4;;4;1;7;1;8;1;7;1;7;1;5;4;2;2;1;1;3;3;2;4;2;7;10;10;2;1,00501
2152;1;4;1;98;97;95;1;6;1;7;1;7;1;7;1;98;97;1;2;2;2;1;3;2;1;5;8;10;10;2;1,12136
2167;1;3;3;98;4;1;1;2;1;8;1;5;1;1;1;0;4;1;1;2;1;2;3;2;4;2;6;10;10;2;1,00501
2172;1;1;1;99;99;1;1;7;1;7;1;3;1;3;1;5;1;1;2;1;1;5;3;2;4;5;7;10;10;4;0,99695
2178;1;2;1;13;;13;1;3;1;4;1;8;1;8;1;0;5;1;1;2;2;1;4;1;1;5;1;10;10;2;1,037
2226;1;1;1;1;;1;1;10;1;6;1;0;1;0;1;5;1;2;1;1;1;4;3;2;4;4;6;21;17;3;1,00332
2229;1;2;1;98;1;1;1;8;1;8;1;98;1;99;1;98;1;2;2;2;1;4;3;1;4;2;6;10;10;3;0,99872
2237;1;2;1;13;;96;1;2;1;2;1;4;1;4;1;0;5;1;2;1;1;1;4;2;2;3;5;10;10;2;1,03536
2240;1;1;1;2;;2;1;0;1;1;1;7;1;5;1;0;2;1;2;2;1;1;99;1;2;5;1;10;10;2;1,04202
2257;1;1;1;95;;95;1;0;1;5;1;5;1;5;1;4;2;1;2;2;98;3;98;1;3;5;1;21;4;3;0,95135
2263;1;3;1;2;;2;1;3;1;2;1;3;1;1;1;0;2;1;2;1;2;2;3;1;3;4;1;9;9;2;0,8851
2270;1;1;1;99;7;7;1;0;1;0;1;0;1;3;1;0;5;1;1;2;2;1;4;2;1;3;1;9;9;2;1,0415
2287;1;98;98;14;;1;2;;1;8;1;0;1;0;1;98;98;98;98;1;98;5;2;2;3;4;1;10;10;4;0,97348
2289;1;1;1;99;99;99;1;5;1;5;1;5;1;5;1;5;99;99;96;2;98;4;3;1;2;5;1;16;16;3;1,04522
2290;1;1;1;14;;1;1;6;1;4;1;0;1;0;1;8;1;2;1;1;1;5;2;1;2;5;1;1;1;2;1,01368
2291;1;4;3;98;97;98;1;0;1;0;1;0;1;0;2;;97;1;2;1;2;5;3;2;2;2;1;12;12;3;1,00726
2298;1;1;1;98;5;5;1;2;1;3;1;6;1;4;1;0;2;1;2;2;98;2;3;1;2;5;1;13;13;3;1,03801
2306;1;1;1;4;;98;1;5;1;7;1;2;1;1;1;4;4;2;2;1;2;3;1;2;3;4;7;7;7;3;0,9461
2310;1;1;1;14;;2;1;4;1;5;1;0;1;0;1;9;14;2;2;1;1;4;1;1;4;2;5;10;10;3;0,99872
2334;1;4;4;97;1;1;1;10;1;8;1;0;1;7;1;0;1;1;96;2;1;4;1;2;4;2;6;13;13;3;1,00115
2335;1;1;1;2;;2;1;0;1;0;1;8;1;8;1;0;2;1;2;2;1;2;3;2;4;5;1;9;9;2;0,93342
2340;1;2;1;98;14;4;1;6;1;6;1;3;1;4;2;;4;1;2;2;98;3;3;1;1;4;8;7;7;3;0,99973
2347;1;1;1;99;98;98;1;0;1;1;1;0;1;0;2;;97;2;96;2;1;98;3;1;3;4;5;21;4;2;0,92354
2350;1;1;1;99;14;1;1;8;1;6;1;0;1;0;1;9;14;2;2;1;1;4;2;2;3;5;1;13;13;4;0,94134
2351;1;1;2;14;;1;1;8;1;7;1;0;1;0;1;9;1;2;1;1;1;5;1;2;4;5;6;13;13;4;0,96404
2357;1;1;1;98;4;2;1;9;1;8;1;0;1;0;1;4;1;2;2;1;1;4;3;1;4;5;1;1;1;4;0,93557
2363;1;3;1;14;;1;1;4;1;2;1;0;1;0;1;9;14;2;2;1;1;5;1;1;3;5;1;1;1;2;0,92706
2364;1;1;1;2;;2;1;0;1;3;1;5;1;5;1;0;2;1;2;2;1;1;3;2;3;5;1;21;11;2;0,95107
2369;1;1;1;9;;9;1;2;1;2;1;3;1;4;1;0;5;1;1;2;1;2;3;2;3;5;1;16;16;2;0,9556
2370;1;1;1;98;14;97;1;5;1;7;1;3;1;3;1;5;4;2;2;1;98;3;3;1;2;2;1;21;11;2;1,00985
2377;1;2;2;98;2;2;1;5;1;6;1;6;1;6;1;4;97;1;96;2;2;1;3;1;1;4;1;16;16;3;1,04017
2381;1;2;1;1;;2;1;4;1;5;1;5;1;0;1;98;5;1;96;1;1;98;1;2;2;3;1;1;1;4;0,99914
2396;1;1;1;98;1;1;1;8;1;5;1;0;1;0;1;7;1;98;98;1;1;4;2;1;4;3;6;9;9;4;0,89323
2404;1;3;4;97;2;98;2;;1;98;1;7;1;98;2;;2;2;2;2;98;98;1;1;2;1;5;9;9;2;0,96783
2408;1;1;1;1;;1;1;10;1;5;1;0;1;0;1;8;1;2;2;1;1;5;1;1;3;3;1;21;11;3;0,95135
2409;1;2;1;14;;4;1;3;1;3;1;0;1;0;1;5;1;2;2;1;1;4;3;1;2;2;1;1;1;4;1,00555
2410;1;1;1;7;;7;1;0;1;0;1;5;1;7;1;0;5;1;1;2;2;1;5;2;3;4;1;9;9;4;0,90415
2412;1;1;2;2;;97;1;7;1;6;1;9;1;5;2;;1;1;1;2;1;5;5;2;2;4;5;13;13;4;0,99318
2413;1;4;4;97;97;97;1;0;1;0;1;0;1;0;2;;97;2;96;1;2;98;3;1;2;5;1;21;4;2;1,00985
2416;1;2;1;7;;2;1;0;1;0;1;5;1;8;1;0;5;1;96;2;2;1;4;1;4;2;6;9;9;1;1,01303
2427;1;2;1;1;;1;1;10;1;7;1;0;1;0;2;;1;98;98;1;1;5;3;2;4;1;7;10;10;2;1,00501
2432;1;2;1;4;;4;1;5;1;6;1;5;2;;1;6;97;1;1;98;2;1;3;2;3;5;5;9;9;3;0,93892
2438;1;1;1;98;5;5;1;0;1;0;1;4;1;6;1;98;5;1;1;2;2;1;5;2;2;5;1;21;4;2;1,0034
2439;1;2;1;99;98;99;1;99;1;99;1;99;1;99;1;99;98;1;2;2;1;98;1;2;4;4;6;13;13;4;0,96404
2446;1;1;1;4;;2;1;5;1;6;1;1;1;0;1;5;4;2;1;1;2;3;3;2;3;3;1;7;7;2;0,91843
2448;1;1;1;4;;2;1;1;1;5;1;5;1;1;1;8;4;2;2;2;1;3;3;1;2;5;1;1;1;2;1,01368
2454;1;3;1;4;;97;1;1;1;5;1;0;1;0;1;1;4;1;2;1;1;3;3;1;4;2;6;8;8;1;1,05491
2473;1;1;1;98;2;2;1;2;1;3;1;6;1;4;2;;98;1;2;2;1;1;98;2;2;5;5;10;10;4;1,02703
2480;1;1;1;98;2;2;1;2;1;3;1;6;1;4;1;1;98;1;2;1;1;2;3;2;3;2;1;1;1;1;1,07404
2482;1;1;1;4;;4;1;1;1;5;1;5;1;1;1;1;4;2;2;1;1;2;3;1;3;5;1;1;1;4;0,91961
2485;1;1;1;5;;5;1;98;1;98;1;8;1;10;2;;5;1;1;2;98;2;4;2;3;3;5;5;5;3;0,99959
2544;1;1;1;2;;2;1;4;1;3;1;10;1;8;1;0;2;1;2;2;1;2;1;2;4;2;1;8;8;1;1,09354
2545;1;3;1;14;;4;1;3;1;5;1;3;1;1;1;5;4;2;98;2;2;3;3;1;2;5;1;8;8;1;1,1338
2552;1;3;4;97;1;97;1;9;1;3;1;0;1;0;1;98;1;2;2;1;1;5;3;2;3;5;1;21;14;2;0,95107
2558;1;1;1;1;;1;1;9;1;6;1;4;1;2;1;5;1;2;1;1;1;4;3;2;4;2;7;10;10;2;1,00501
2578;1;98;1;98;98;9;1;0;1;4;1;5;1;5;1;0;97;1;2;2;2;1;3;2;3;4;1;16;16;2;0,9556
2579;1;3;2;98;5;97;1;1;1;2;1;1;1;5;1;4;5;2;1;1;2;5;3;1;1;2;5;21;3;2;1,00496
2587;1;1;1;99;99;2;1;6;1;7;1;7;2;;2;;4;1;2;2;1;5;3;1;2;3;1;1;1;1;1,14043
2588;1;2;1;99;95;97;1;4;1;4;1;4;1;4;2;;99;1;98;1;98;2;3;1;2;4;1;13;13;4;0,99956
2601;1;2;4;97;2;97;1;0;1;3;1;6;1;3;1;0;2;1;2;1;1;3;3;2;2;5;1;13;13;4;0,99318
2604;1;1;1;13;;13;1;2;1;2;1;6;1;5;1;0;2;1;96;2;1;1;4;1;2;2;1;10;10;2;1,04202
2609;1;4;1;10;;10;1;0;1;0;1;0;1;5;1;0;5;1;1;2;2;1;5;1;2;5;1;16;16;2;1,01466
2618;1;1;1;4;;1;1;8;1;9;1;2;1;0;1;7;4;2;2;1;2;4;3;2;3;2;5;1;1;3;0,98345
2619;1;1;1;98;97;4;1;0;1;0;1;0;1;0;1;0;97;1;98;98;98;3;3;2;3;3;5;21;14;2;0,95107
2625;1;1;1;5;;97;1;6;1;7;1;6;1;7;1;0;4;2;2;1;1;2;3;1;2;5;1;13;13;3;1,03801
2640;1;1;1;4;;1;1;1;1;5;1;1;1;2;2;;4;2;2;1;2;3;1;2;2;5;1;12;12;2;0,97777
2642;1;1;1;1;;4;1;10;1;9;1;0;1;0;1;8;1;1;2;1;1;3;1;2;3;2;7;1;1;2;0,95469
2652;1;1;1;1;;1;1;3;1;3;1;2;1;0;1;1;1;2;2;1;1;4;1;2;4;3;6;7;7;1;1,05817
2658;1;1;1;2;;13;1;0;1;5;1;8;1;3;1;0;2;1;2;2;1;2;3;2;3;5;1;10;10;2;0,98138
2672;1;1;1;99;99;99;1;5;1;5;1;0;1;1;1;98;1;2;99;1;1;4;3;2;3;4;1;7;7;1;1,03326
2723;1;1;1;98;4;4;1;3;1;6;1;0;1;0;1;98;4;2;2;1;98;98;1;2;2;4;5;13;13;3;1,03136
2728;1;98;4;97;97;97;1;0;1;0;1;0;1;0;2;;97;1;1;2;2;98;99;1;1;2;1;9;9;1;1,08355
2730;1;1;2;99;99;99;1;99;1;99;1;99;1;99;1;99;98;2;96;1;2;3;1;2;2;5;1;13;13;2;1,00121
2733;1;1;1;1;;1;1;6;1;7;1;1;1;2;1;5;4;2;2;1;1;5;1;1;3;3;1;13;13;3;0,9493
2756;1;2;1;99;99;99;1;0;1;0;1;0;1;0;1;0;97;1;1;2;2;3;5;2;3;5;1;9;9;2;0,91145
2785;1;1;1;4;;4;1;7;1;9;1;3;1;0;1;6;4;2;2;1;1;3;2;1;2;5;1;9;9;2;0,96783
2789;1;2;1;14;;4;1;0;1;0;1;0;1;0;1;6;14;2;2;1;1;3;1;1;2;4;1;13;13;4;0,99956
2790;1;1;1;1;;1;1;8;1;5;1;4;1;3;1;6;1;2;2;1;1;4;1;1;2;4;1;13;13;2;1,00766
2805;1;1;1;4;;98;1;8;1;9;1;4;1;0;1;4;4;2;2;1;1;4;3;2;4;4;1;7;7;3;0,96891
2807;1;2;1;5;;98;1;0;1;0;1;6;1;7;1;0;2;1;96;2;2;1;3;1;4;3;6;1;1;2;0,94316
2813;1;1;1;7;;6;1;0;1;0;1;5;1;7;1;0;2;1;1;2;2;2;5;1;3;5;6;9;9;4;0,87798
2814;1;1;1;5;;2;1;0;1;1;1;0;1;6;1;0;5;1;2;2;1;2;1;1;2;4;1;21;4;2;1,00985
2817;1;2;2;98;97;97;1;3;1;3;1;3;1;3;2;;97;2;1;1;2;98;3;1;2;2;1;21;3;2;1,00985
2818;1;2;1;1;;1;1;7;1;7;1;0;1;0;1;7;1;2;99;1;1;4;3;2;2;5;1;1;1;4;0,99914
2825;1;2;1;99;98;98;1;0;1;1;1;7;1;7;1;0;98;1;1;2;98;3;3;1;2;4;1;9;9;4;0,96004
2826;1;1;1;4;;98;1;6;1;8;1;5;1;5;1;4;4;1;98;2;98;3;4;1;3;3;5;1;1;1;1,04298
2827;1;2;2;5;;97;1;3;1;4;1;3;1;5;1;2;5;1;96;2;1;1;3;2;3;5;5;13;13;3;0,97758
2839;1;1;2;8;;8;1;0;1;0;1;2;1;5;1;0;5;1;1;2;2;1;5;1;2;5;1;9;9;2;0,96783
2842;1;2;1;1;;1;1;8;1;6;1;5;1;5;1;7;1;2;2;1;1;4;3;1;3;4;1;5;5;1;1,06011
2847;1;1;1;1;;1;1;5;1;5;1;5;1;3;1;3;1;1;2;1;1;3;3;2;1;3;8;10;10;4;1,11237
2857;1;2;2;99;99;99;1;98;1;5;1;8;1;1;1;7;99;2;98;2;1;99;3;1;1;3;8;13;13;4;0,99471
2867;1;1;1;2;;97;1;3;1;3;1;6;1;5;1;0;2;1;2;1;1;1;1;1;2;5;1;1;1;3;1,04423
2870;1;2;1;2;;2;1;0;1;0;1;10;1;6;1;0;2;98;2;2;1;1;1;2;4;2;5;1;1;2;0,97768
2872;1;1;1;1;;1;1;8;1;7;1;1;1;2;1;5;1;2;2;1;1;3;3;2;2;5;1;21;11;1;1,12885
2876;1;3;4;97;97;97;2;;2;;2;;2;;2;;96;1;1;2;1;5;1;2;2;1;5;12;12;2;0,97777
2886;1;1;1;98;98;5;1;3;1;5;1;7;1;8;1;0;2;1;2;2;1;1;3;2;2;4;1;21;11;1;1,12885
2890;1;1;1;96;2;2;1;0;1;0;1;0;1;0;1;0;97;1;96;2;98;2;3;1;2;2;1;12;12;2;0,98408
2902;1;2;1;5;;5;1;6;1;7;1;5;1;7;1;3;5;1;96;2;98;1;3;2;1;5;8;13;13;4;1,07566
2905;1;2;1;5;;5;1;0;1;0;1;2;1;6;1;0;5;1;1;2;2;1;98;1;2;5;1;16;16;3;1,04522
2920;1;3;1;98;2;97;1;5;2;;1;10;1;5;2;;2;98;98;98;98;1;1;1;2;1;1;9;9;1;1,08881
2924;1;2;1;2;;2;1;3;1;5;1;10;1;5;1;5;2;98;2;1;98;1;4;2;4;2;6;21;11;1;1,09576
2926;1;1;1;1;;1;1;6;1;7;1;2;1;0;1;7;1;1;1;2;1;4;3;2;4;3;1;1;1;4;0,96981
2931;1;2;4;97;97;97;1;5;1;5;1;6;1;6;1;2;2;1;2;2;98;2;4;2;3;5;1;12;12;3;0,95468
